state,year,law,definition,status,link
Connecticut,2011,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Current,
Connecticut,2011,purge,State is not required to purge sales records for at least 60 days after purchase,Current,
Connecticut,2011,security,At least one store security precaution required,Current,
Connecticut,2011,permith,A license or permit is required to purchase handguns,Current,
Connecticut,2011,fingerprint,Fingerprinting required at point of purchase for all dealers,Current,
Connecticut,2011,training,Safety training or testing required prior to issuing a firearm license or permit,Current,
Connecticut,2011,permitlaw,Permit process involves law enforcement,Current,
Connecticut,2011,age21handgunsale,Purchase of handguns from licensed dealers and private sellers restricted to age 21 and older,Current,
Connecticut,2011,age21handgunpossess,No possession of handguns until age 21,Current,
Connecticut,2011,loststolen,Mandatory reporting of lost and stolen guns by firearm owners,Current,
Connecticut,2011,universal,Universal background checks required at point of transfer for all firearms,Current,
Connecticut,2011,universalh,Universal background check required at point of transfer for handguns,Current,
Connecticut,2011,gunshow,Background checks required for all gun show firearm sales at point of purchase,Current,
Connecticut,2011,gunshowh,Background checks required for purchase of handguns at gun shows at point of purchase,Current,
Connecticut,2011,universalpermit,Background checks conducted through permit requirement for all firearm sales (or universal background checks),Current,
Connecticut,2011,universalpermith,Background checks conducted through permit requirement for all handgun sales (or universal background checks),Current,
Connecticut,2011,backgroundpurge,State is not required to purge background check records for at least 60 days,Current,
Connecticut,2011,mentalhealth,Required background checks include an explicit requirement for search of state mental health records,Current,
Connecticut,2011,statechecks,"State conducts separate background checks, beyond the federal NICS check, for all firearms",Current,
Connecticut,2011,statechecksh,"State conducts separate background checks, beyond the federal NICS check, for handguns",Current,
Connecticut,2011,assault,Assault weapons sales ban beyond just assault pistols,Current,
Connecticut,2011,assaultlist,Assault weapons included in a list of banned weapons,Current,
Connecticut,2011,assaultregister,Grandfathered weapons must be registered,Current,
Connecticut,2011,assaulttransfer,Transfer of grandfathered weapons is prohibited,Current,
Connecticut,2011,gvrolawenforcement,The law allows a law enforcement officer to initiate a procedure to confiscate firearms from any person who is deemed by a judge to represent a threat to themselves or others,Current,
Connecticut,2011,gvrolawmentalhealth,The law allows a law enforcement officer to initiate a procedure to confiscate firearms from any person who by virtue of impaired mental health is deemed by a judge to represent a threat to themselves or others,Current,
Connecticut,2011,elementary,"No gun carrying on elementary school property, including concealed weapons permittees",Current,
Connecticut,2011,permitconcealed,Permit required to carry concealed weapons,Current,
Connecticut,2011,mayissue,"""May issue"" state",Current,
Connecticut,2011,ccbackground,Concealed carry permit process requires a background check,Current,
Connecticut,2011,ccrenewbackground,Concealed carry permit renewal requires a new background check,Current,
Connecticut,2011,nosyg,No stand your ground law,Current,
Connecticut,2011,lockd,Safety lock required for handguns sold through dealers,Current,
Connecticut,2011,lockp,Safety lock required for handguns sold through private sellers,Current,
Connecticut,2011,capuses,Criminal liability for negligent storage of guns if child uses or carries the gun,Current,
Connecticut,2011,cap16,Criminal liability applies to children less than 16 years old,Current,
Connecticut,2011,cap14,Criminal liability applies to children less than 14 years old,Current,
Connecticut,2011,liability,Strict liability for damages resulting from illegal gun sales,Current,
Connecticut,2011,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Current,
Connecticut,2011,preemption,State law does not preempt local regulation of firearms,Current,
Connecticut,2011,dvro,State law automatically prohibits domestic violence-related restraining order (DVRO) subjects from possessing firearms,Current,
Connecticut,2011,dvrodating,DVROs are automatically prohibiting if the subject is a dating partner of the petitioner,Current,
Connecticut,2011,stalking,A stalking conviction is prohibitive for firearm possession,Current,
Connecticut,2012,felony,Felony conviction is prohibitive for firearm purchase/possession,Current,
Connecticut,2012,invcommitment,Involuntary commitment (inpatient) is prohibitive for firearm purchase/possession,Current,
Connecticut,2012,drugmisdemeanor,Drug misdemeanor is prohibitive for firearm purchase/possession,Current,
Connecticut,2012,dealerh,State dealer license required for handgun sales,Current,
Connecticut,2012,recordsall,Record keeping and retention required for all private sellers and all licensed dealers for all firearms,Current,
Connecticut,2012,recordsallh,Record keeping and retention required for all sellers and all dealers for handgun sales,Current,
Connecticut,2012,recordsdealer,Record keeping and retention required for licensed dealers for all firearm sales,Current,
Connecticut,2012,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Current,
Connecticut,2012,reportall,Reporting of sales records to the state required for all private sellers and all licensed dealers for all firearms,Current,
Connecticut,2012,reportallh,Reporting of sales records to the state required for all sellers and all dealers for handgun sales,Current,
Connecticut,2012,reportdealer,Reporting of sales records to the state required for licensed dealers for all firearm sales,Current,
Connecticut,2012,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Current,
Connecticut,2012,purge,State is not required to purge sales records for at least 60 days after purchase,Current,
Connecticut,2012,security,At least one store security precaution required,Current,
Connecticut,2012,permith,A license or permit is required to purchase handguns,Current,
Connecticut,2012,fingerprint,Fingerprinting required at point of purchase for all dealers,Current,
Connecticut,2012,training,Safety training or testing required prior to issuing a firearm license or permit,Current,
Connecticut,2012,permitlaw,Permit process involves law enforcement,Current,
Connecticut,2012,age21handgunsale,Purchase of handguns from licensed dealers and private sellers restricted to age 21 and older,Current,
Connecticut,2012,age21handgunpossess,No possession of handguns until age 21,Current,
Connecticut,2012,loststolen,Mandatory reporting of lost and stolen guns by firearm owners,Current,
Connecticut,2012,universal,Universal background checks required at point of transfer for all firearms,Current,
Connecticut,2012,universalh,Universal background check required at point of transfer for handguns,Current,
Connecticut,2012,gunshow,Background checks required for all gun show firearm sales at point of purchase,Current,
Connecticut,2012,gunshowh,Background checks required for purchase of handguns at gun shows at point of purchase,Current,
Connecticut,2012,universalpermit,Background checks conducted through permit requirement for all firearm sales (or universal background checks),Current,
Connecticut,2012,universalpermith,Background checks conducted through permit requirement for all handgun sales (or universal background checks),Current,
Connecticut,2012,backgroundpurge,State is not required to purge background check records for at least 60 days,Current,
Connecticut,2012,mentalhealth,Required background checks include an explicit requirement for search of state mental health records,Current,
Connecticut,2012,statechecks,"State conducts separate background checks, beyond the federal NICS check, for all firearms",Current,
Connecticut,2012,statechecksh,"State conducts separate background checks, beyond the federal NICS check, for handguns",Current,
Connecticut,2012,assault,Assault weapons sales ban beyond just assault pistols,Current,
Connecticut,2012,assaultlist,Assault weapons included in a list of banned weapons,Current,
Connecticut,2012,assaultregister,Grandfathered weapons must be registered,Current,
Connecticut,2012,assaulttransfer,Transfer of grandfathered weapons is prohibited,Current,
Connecticut,2012,gvrolawenforcement,The law allows a law enforcement officer to initiate a procedure to confiscate firearms from any person who is deemed by a judge to represent a threat to themselves or others,Current,
Connecticut,2012,gvrolawmentalhealth,The law allows a law enforcement officer to initiate a procedure to confiscate firearms from any person who by virtue of impaired mental health is deemed by a judge to represent a threat to themselves or others,Current,
Connecticut,2012,elementary,"No gun carrying on elementary school property, including concealed weapons permittees",Current,
Connecticut,2012,permitconcealed,Permit required to carry concealed weapons,Current,
Connecticut,2012,mayissue,"""May issue"" state",Current,
Connecticut,2012,ccbackground,Concealed carry permit process requires a background check,Current,
Connecticut,2012,ccrenewbackground,Concealed carry permit renewal requires a new background check,Current,
Connecticut,2012,nosyg,No stand your ground law,Current,
Connecticut,2012,lockd,Safety lock required for handguns sold through dealers,Current,
Connecticut,2012,lockp,Safety lock required for handguns sold through private sellers,Current,
Connecticut,2012,capuses,Criminal liability for negligent storage of guns if child uses or carries the gun,Current,
Connecticut,2012,cap16,Criminal liability applies to children less than 16 years old,Current,
Connecticut,2012,cap14,Criminal liability applies to children less than 14 years old,Current,
Connecticut,2012,liability,Strict liability for damages resulting from illegal gun sales,Current,
Connecticut,2012,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Current,
Connecticut,2012,preemption,State law does not preempt local regulation of firearms,Current,
Connecticut,2012,dvro,State law automatically prohibits domestic violence-related restraining order (DVRO) subjects from possessing firearms,Current,
Connecticut,2012,dvrodating,DVROs are automatically prohibiting if the subject is a dating partner of the petitioner,Current,
Connecticut,2012,stalking,A stalking conviction is prohibitive for firearm possession,Current,
Connecticut,2013,felony,Felony conviction is prohibitive for firearm purchase/possession,Current,
Connecticut,2013,invcommitment,Involuntary commitment (inpatient) is prohibitive for firearm purchase/possession,Current,
Connecticut,2013,drugmisdemeanor,Drug misdemeanor is prohibitive for firearm purchase/possession,Current,
Connecticut,2013,violent,Firearm possession is prohibited for people with a history of a violent misdemeanor punishable by less than one year of imprisonment,Current,
Connecticut,2013,violenth,Handgun possession is prohibited for people with a history of a violent misdemeanor punishable by less than one year of imprisonment,Current,
Connecticut,2013,violentpartial,Firearm possession is prohibited for people with a history of a violent misdemeanor punishable by more than one year of imprisonment,Current,
Connecticut,2013,dealerh,State dealer license required for handgun sales,Current,
Connecticut,2013,recordsall,Record keeping and retention required for all private sellers and all licensed dealers for all firearms,Current,
Connecticut,2013,recordsallh,Record keeping and retention required for all sellers and all dealers for handgun sales,Current,
Connecticut,2013,recordsdealer,Record keeping and retention required for licensed dealers for all firearm sales,Current,
Connecticut,2013,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Current,
Connecticut,2013,reportall,Reporting of sales records to the state required for all private sellers and all licensed dealers for all firearms,Current,
Connecticut,2013,reportallh,Reporting of sales records to the state required for all sellers and all dealers for handgun sales,Current,
Connecticut,2013,reportdealer,Reporting of sales records to the state required for licensed dealers for all firearm sales,Current,
Connecticut,2013,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Current,
Connecticut,2013,purge,State is not required to purge sales records for at least 60 days after purchase,Current,
Connecticut,2013,security,At least one store security precaution required,Current,
Connecticut,2013,permith,A license or permit is required to purchase handguns,Current,
Connecticut,2013,fingerprint,Fingerprinting required at point of purchase for all dealers,Current,
Connecticut,2013,training,Safety training or testing required prior to issuing a firearm license or permit,Current,
Connecticut,2013,permitlaw,Permit process involves law enforcement,Current,
Connecticut,2013,ammpermit,Permit required to purchase ammunition,Current,
Connecticut,2013,ammrestrict,Sale of ammunition is restricted to all the same categories as firearms,Current,
Connecticut,2013,age21handgunsale,Purchase of handguns from licensed dealers and private sellers restricted to age 21 and older,Current,
Connecticut,2013,age18longgunsale,Purchase of long guns from licensed dealers and private sellers restricted to age 18 and older,Current,
Connecticut,2013,age21handgunpossess,No possession of handguns until age 21,Current,
Connecticut,2013,age18longgunpossess,No possession of long guns until age 18,Current,
Connecticut,2013,loststolen,Mandatory reporting of lost and stolen guns by firearm owners,Current,
Connecticut,2013,amm18,Ammunition sales not allowed to persons under age 18 for any type of ammunition (all firearms),Current,
Connecticut,2013,amm21h,Ammunition sales not allowed to persons under age 21 for handguns,Current,
Connecticut,2013,universal,Universal background checks required at point of transfer for all firearms,Current,
Connecticut,2013,universalh,Universal background check required at point of transfer for handguns,Current,
Connecticut,2013,gunshow,Background checks required for all gun show firearm sales at point of purchase,Current,
Connecticut,2013,gunshowh,Background checks required for purchase of handguns at gun shows at point of purchase,Current,
Connecticut,2013,universalpermit,Background checks conducted through permit requirement for all firearm sales (or universal background checks),Current,
Connecticut,2013,universalpermith,Background checks conducted through permit requirement for all handgun sales (or universal background checks),Current,
Connecticut,2013,backgroundpurge,State is not required to purge background check records for at least 60 days,Current,
Connecticut,2013,ammbackground,Background checks required for ammunition purchase,Current,
Connecticut,2013,mentalhealth,Required background checks include an explicit requirement for search of state mental health records,Current,
Connecticut,2013,statechecks,"State conducts separate background checks, beyond the federal NICS check, for all firearms",Current,
Connecticut,2013,statechecksh,"State conducts separate background checks, beyond the federal NICS check, for handguns",Current,
Connecticut,2013,assault,Assault weapons sales ban beyond just assault pistols,Current,
Connecticut,2013,onefeature,Assault weapons defined by only one feature,Current,
Connecticut,2013,assaultlist,Assault weapons included in a list of banned weapons,Current,
Connecticut,2013,assaultregister,Grandfathered weapons must be registered,Current,
Connecticut,2013,assaulttransfer,Transfer of grandfathered weapons is prohibited,Current,
Connecticut,2013,magazine,Ban on large capacity magazines beyond just ammunition for pistols,Current,
Connecticut,2013,tenroundlimit,Ban includes a 10-round limit (not a 15 or higher round limit),Current,
Connecticut,2013,gvrolawenforcement,The law allows a law enforcement officer to initiate a procedure to confiscate firearms from any person who is deemed by a judge to represent a threat to themselves or others,Current,
Connecticut,2013,gvrolawmentalhealth,The law allows a law enforcement officer to initiate a procedure to confiscate firearms from any person who by virtue of impaired mental health is deemed by a judge to represent a threat to themselves or others,Current,
Connecticut,2013,elementary,"No gun carrying on elementary school property, including concealed weapons permittees",Current,
Connecticut,2013,permitconcealed,Permit required to carry concealed weapons,Current,
Connecticut,2013,mayissue,"""May issue"" state",Current,
Connecticut,2013,ccbackground,Concealed carry permit process requires a background check,Current,
Connecticut,2013,ccrenewbackground,Concealed carry permit renewal requires a new background check,Current,
Connecticut,2013,nosyg,No stand your ground law,Current,
Connecticut,2013,lockd,Safety lock required for handguns sold through dealers,Current,
Connecticut,2013,lockp,Safety lock required for handguns sold through private sellers,Current,
Connecticut,2013,capuses,Criminal liability for negligent storage of guns if child uses or carries the gun,Current,
Connecticut,2013,cap16,Criminal liability applies to children less than 16 years old,Current,
Connecticut,2013,cap14,Criminal liability applies to children less than 14 years old,Current,
Connecticut,2013,liability,Strict liability for damages resulting from illegal gun sales,Current,
Connecticut,2013,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Current,
Connecticut,2013,preemption,State law does not preempt local regulation of firearms,Current,
Connecticut,2013,mcdv,State law automatically prohibits misdemeanor crime of domestic violence (MCDV) offenders from possessing firearms,Current,
Connecticut,2013,mcdvdating,MCDV convictions are prohibiting if the victim is a dating partner of the offender,Current,
Connecticut,2013,mcdvsurrender,State law automatically requires MCDV offenders to surrender their firearms,Current,
Connecticut,2013,mcdvsurrendernoconditions,No additional finding is required before the firearm surrender provisions apply,Current,
Connecticut,2013,mcdvsurrenderdating,The surrender provisions apply if the defendant is a dating partner of the victim,Current,
Connecticut,2013,dvro,State law automatically prohibits domestic violence-related restraining order (DVRO) subjects from possessing firearms,Current,
Connecticut,2013,dvrodating,DVROs are automatically prohibiting if the subject is a dating partner of the petitioner,Current,
Connecticut,2013,stalking,A stalking conviction is prohibitive for firearm possession,Current,
Connecticut,2014,felony,Felony conviction is prohibitive for firearm purchase/possession,Current,
Connecticut,2014,invcommitment,Involuntary commitment (inpatient) is prohibitive for firearm purchase/possession,Current,
Connecticut,2014,drugmisdemeanor,Drug misdemeanor is prohibitive for firearm purchase/possession,Current,
Connecticut,2014,violent,Firearm possession is prohibited for people with a history of a violent misdemeanor punishable by less than one year of imprisonment,Current,
Connecticut,2014,violenth,Handgun possession is prohibited for people with a history of a violent misdemeanor punishable by less than one year of imprisonment,Current,
Connecticut,2014,violentpartial,Firearm possession is prohibited for people with a history of a violent misdemeanor punishable by more than one year of imprisonment,Current,
Connecticut,2014,dealerh,State dealer license required for handgun sales,Current,
Connecticut,2014,recordsall,Record keeping and retention required for all private sellers and all licensed dealers for all firearms,Current,
Connecticut,2014,recordsallh,Record keeping and retention required for all sellers and all dealers for handgun sales,Current,
Connecticut,2014,recordsdealer,Record keeping and retention required for licensed dealers for all firearm sales,Current,
Connecticut,2014,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Current,
Connecticut,2014,reportall,Reporting of sales records to the state required for all private sellers and all licensed dealers for all firearms,Current,
Connecticut,2014,reportallh,Reporting of sales records to the state required for all sellers and all dealers for handgun sales,Current,
Connecticut,2014,reportdealer,Reporting of sales records to the state required for licensed dealers for all firearm sales,Current,
Connecticut,2014,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Current,
Connecticut,2014,purge,State is not required to purge sales records for at least 60 days after purchase,Current,
Connecticut,2014,security,At least one store security precaution required,Current,
Connecticut,2014,permit,A license or permit is required to purchase all firearms,Current,
Connecticut,2014,permith,A license or permit is required to purchase handguns,Current,
Connecticut,2014,fingerprint,Fingerprinting required at point of purchase for all dealers,Current,
Connecticut,2014,training,Safety training or testing required prior to issuing a firearm license or permit,Current,
Connecticut,2014,permitlaw,Permit process involves law enforcement,Current,
Connecticut,2014,ammpermit,Permit required to purchase ammunition,Current,
Connecticut,2014,ammrestrict,Sale of ammunition is restricted to all the same categories as firearms,Current,
Connecticut,2014,age21handgunsale,Purchase of handguns from licensed dealers and private sellers restricted to age 21 and older,Current,
Connecticut,2014,age18longgunsale,Purchase of long guns from licensed dealers and private sellers restricted to age 18 and older,Current,
Connecticut,2014,age21handgunpossess,No possession of handguns until age 21,Current,
Connecticut,2014,age18longgunpossess,No possession of long guns until age 18,Current,
Connecticut,2014,loststolen,Mandatory reporting of lost and stolen guns by firearm owners,Current,
Connecticut,2014,amm18,Ammunition sales not allowed to persons under age 18 for any type of ammunition (all firearms),Current,
Connecticut,2014,amm21h,Ammunition sales not allowed to persons under age 21 for handguns,Current,
Connecticut,2014,universal,Universal background checks required at point of transfer for all firearms,Current,
Connecticut,2014,universalh,Universal background check required at point of transfer for handguns,Current,
Connecticut,2014,gunshow,Background checks required for all gun show firearm sales at point of purchase,Current,
Connecticut,2014,gunshowh,Background checks required for purchase of handguns at gun shows at point of purchase,Current,
Connecticut,2014,universalpermit,Background checks conducted through permit requirement for all firearm sales (or universal background checks),Current,
Connecticut,2014,universalpermith,Background checks conducted through permit requirement for all handgun sales (or universal background checks),Current,
Connecticut,2014,backgroundpurge,State is not required to purge background check records for at least 60 days,Current,
Connecticut,2014,ammbackground,Background checks required for ammunition purchase,Current,
Connecticut,2014,mentalhealth,Required background checks include an explicit requirement for search of state mental health records,Current,
Connecticut,2014,statechecks,"State conducts separate background checks, beyond the federal NICS check, for all firearms",Current,
Connecticut,2014,statechecksh,"State conducts separate background checks, beyond the federal NICS check, for handguns",Current,
Connecticut,2014,assault,Assault weapons sales ban beyond just assault pistols,Current,
Connecticut,2014,onefeature,Assault weapons defined by only one feature,Current,
Connecticut,2014,assaultlist,Assault weapons included in a list of banned weapons,Current,
Connecticut,2014,assaultregister,Grandfathered weapons must be registered,Current,
Connecticut,2014,assaulttransfer,Transfer of grandfathered weapons is prohibited,Current,
Connecticut,2014,magazine,Ban on large capacity magazines beyond just ammunition for pistols,Current,
Connecticut,2014,tenroundlimit,Ban includes a 10-round limit (not a 15 or higher round limit),Current,
Connecticut,2014,gvrolawenforcement,The law allows a law enforcement officer to initiate a procedure to confiscate firearms from any person who is deemed by a judge to represent a threat to themselves or others,Current,
Connecticut,2014,gvrolawmentalhealth,The law allows a law enforcement officer to initiate a procedure to confiscate firearms from any person who by virtue of impaired mental health is deemed by a judge to represent a threat to themselves or others,Current,
Connecticut,2014,elementary,"No gun carrying on elementary school property, including concealed weapons permittees",Current,
Connecticut,2014,permitconcealed,Permit required to carry concealed weapons,Current,
Connecticut,2014,mayissue,"""May issue"" state",Current,
Connecticut,2014,ccbackground,Concealed carry permit process requires a background check,Current,
Connecticut,2014,ccrenewbackground,Concealed carry permit renewal requires a new background check,Current,
Connecticut,2014,nosyg,No stand your ground law,Current,
Connecticut,2014,lockd,Safety lock required for handguns sold through dealers,Current,
Connecticut,2014,lockp,Safety lock required for handguns sold through private sellers,Current,
Connecticut,2014,capuses,Criminal liability for negligent storage of guns if child uses or carries the gun,Current,
Connecticut,2014,cap16,Criminal liability applies to children less than 16 years old,Current,
Connecticut,2014,cap14,Criminal liability applies to children less than 14 years old,Current,
Connecticut,2014,liability,Strict liability for damages resulting from illegal gun sales,Current,
Connecticut,2014,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Current,
Connecticut,2014,preemption,State law does not preempt local regulation of firearms,Current,
Connecticut,2014,mcdv,State law automatically prohibits misdemeanor crime of domestic violence (MCDV) offenders from possessing firearms,Current,
Connecticut,2014,mcdvdating,MCDV convictions are prohibiting if the victim is a dating partner of the offender,Current,
Connecticut,2014,mcdvsurrender,State law automatically requires MCDV offenders to surrender their firearms,Current,
Connecticut,2014,mcdvsurrendernoconditions,No additional finding is required before the firearm surrender provisions apply,Current,
Connecticut,2014,mcdvsurrenderdating,The surrender provisions apply if the defendant is a dating partner of the victim,Current,
Connecticut,2014,dvro,State law automatically prohibits domestic violence-related restraining order (DVRO) subjects from possessing firearms,Current,
Connecticut,2014,dvrodating,DVROs are automatically prohibiting if the subject is a dating partner of the petitioner,Current,
Connecticut,2014,stalking,A stalking conviction is prohibitive for firearm possession,Current,
Connecticut,2015,felony,Felony conviction is prohibitive for firearm purchase/possession,Current,
Connecticut,2015,invcommitment,Involuntary commitment (inpatient) is prohibitive for firearm purchase/possession,Current,
Connecticut,2015,drugmisdemeanor,Drug misdemeanor is prohibitive for firearm purchase/possession,Current,
Connecticut,2015,violent,Firearm possession is prohibited for people with a history of a violent misdemeanor punishable by less than one year of imprisonment,Current,
Connecticut,2015,violenth,Handgun possession is prohibited for people with a history of a violent misdemeanor punishable by less than one year of imprisonment,Current,
Connecticut,2015,violentpartial,Firearm possession is prohibited for people with a history of a violent misdemeanor punishable by more than one year of imprisonment,Current,
Connecticut,2015,dealerh,State dealer license required for handgun sales,Current,
Connecticut,2015,recordsall,Record keeping and retention required for all private sellers and all licensed dealers for all firearms,Current,
Connecticut,2015,recordsallh,Record keeping and retention required for all sellers and all dealers for handgun sales,Current,
Connecticut,2015,recordsdealer,Record keeping and retention required for licensed dealers for all firearm sales,Current,
Connecticut,2015,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Current,
Connecticut,2015,reportall,Reporting of sales records to the state required for all private sellers and all licensed dealers for all firearms,Current,
Connecticut,2015,reportallh,Reporting of sales records to the state required for all sellers and all dealers for handgun sales,Current,
Connecticut,2015,reportdealer,Reporting of sales records to the state required for licensed dealers for all firearm sales,Current,
Connecticut,2015,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Current,
Connecticut,2015,purge,State is not required to purge sales records for at least 60 days after purchase,Current,
Connecticut,2015,security,At least one store security precaution required,Current,
Connecticut,2015,permit,A license or permit is required to purchase all firearms,Current,
Connecticut,2015,permith,A license or permit is required to purchase handguns,Current,
Connecticut,2015,fingerprint,Fingerprinting required at point of purchase for all dealers,Current,
Connecticut,2015,training,Safety training or testing required prior to issuing a firearm license or permit,Current,
Connecticut,2015,permitlaw,Permit process involves law enforcement,Current,
Connecticut,2015,ammpermit,Permit required to purchase ammunition,Current,
Connecticut,2015,ammrestrict,Sale of ammunition is restricted to all the same categories as firearms,Current,
Connecticut,2015,age21handgunsale,Purchase of handguns from licensed dealers and private sellers restricted to age 21 and older,Current,
Connecticut,2015,age18longgunsale,Purchase of long guns from licensed dealers and private sellers restricted to age 18 and older,Current,
Connecticut,2015,age21handgunpossess,No possession of handguns until age 21,Current,
Connecticut,2015,age18longgunpossess,No possession of long guns until age 18,Current,
Connecticut,2015,loststolen,Mandatory reporting of lost and stolen guns by firearm owners,Current,
Connecticut,2015,amm18,Ammunition sales not allowed to persons under age 18 for any type of ammunition (all firearms),Current,
Connecticut,2015,amm21h,Ammunition sales not allowed to persons under age 21 for handguns,Current,
Connecticut,2015,universal,Universal background checks required at point of transfer for all firearms,Current,
Connecticut,2015,universalh,Universal background check required at point of transfer for handguns,Current,
Connecticut,2015,gunshow,Background checks required for all gun show firearm sales at point of purchase,Current,
Connecticut,2015,gunshowh,Background checks required for purchase of handguns at gun shows at point of purchase,Current,
Connecticut,2015,universalpermit,Background checks conducted through permit requirement for all firearm sales (or universal background checks),Current,
Connecticut,2015,universalpermith,Background checks conducted through permit requirement for all handgun sales (or universal background checks),Current,
Connecticut,2015,backgroundpurge,State is not required to purge background check records for at least 60 days,Current,
Connecticut,2015,ammbackground,Background checks required for ammunition purchase,Current,
Connecticut,2015,mentalhealth,Required background checks include an explicit requirement for search of state mental health records,Current,
Connecticut,2015,statechecks,"State conducts separate background checks, beyond the federal NICS check, for all firearms",Current,
Connecticut,2015,statechecksh,"State conducts separate background checks, beyond the federal NICS check, for handguns",Current,
Connecticut,2015,assault,Assault weapons sales ban beyond just assault pistols,Current,
Connecticut,2015,onefeature,Assault weapons defined by only one feature,Current,
Connecticut,2015,assaultlist,Assault weapons included in a list of banned weapons,Current,
Connecticut,2015,assaultregister,Grandfathered weapons must be registered,Current,
Connecticut,2015,assaulttransfer,Transfer of grandfathered weapons is prohibited,Current,
Connecticut,2015,magazine,Ban on large capacity magazines beyond just ammunition for pistols,Current,
Connecticut,2015,tenroundlimit,Ban includes a 10-round limit (not a 15 or higher round limit),Current,
Connecticut,2015,gvrolawenforcement,The law allows a law enforcement officer to initiate a procedure to confiscate firearms from any person who is deemed by a judge to represent a threat to themselves or others,Current,
Connecticut,2015,gvrolawmentalhealth,The law allows a law enforcement officer to initiate a procedure to confiscate firearms from any person who by virtue of impaired mental health is deemed by a judge to represent a threat to themselves or others,Current,
Connecticut,2015,elementary,"No gun carrying on elementary school property, including concealed weapons permittees",Current,
Connecticut,2015,permitconcealed,Permit required to carry concealed weapons,Current,
Connecticut,2015,mayissue,"""May issue"" state",Current,
Connecticut,2015,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Current,
Connecticut,2015,ccbackground,Concealed carry permit process requires a background check,Current,
Connecticut,2015,ccrenewbackground,Concealed carry permit renewal requires a new background check,Current,
Connecticut,2015,nosyg,No stand your ground law,Current,
Connecticut,2015,lockd,Safety lock required for handguns sold through dealers,Current,
Connecticut,2015,lockp,Safety lock required for handguns sold through private sellers,Current,
Connecticut,2015,capuses,Criminal liability for negligent storage of guns if child uses or carries the gun,Current,
Connecticut,2015,cap16,Criminal liability applies to children less than 16 years old,Current,
Connecticut,2015,cap14,Criminal liability applies to children less than 14 years old,Current,
Connecticut,2015,liability,Strict liability for damages resulting from illegal gun sales,Current,
Connecticut,2015,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Current,
Connecticut,2015,preemption,State law does not preempt local regulation of firearms,Current,
Connecticut,2015,mcdv,State law automatically prohibits misdemeanor crime of domestic violence (MCDV) offenders from possessing firearms,Current,
Connecticut,2015,mcdvdating,MCDV convictions are prohibiting if the victim is a dating partner of the offender,Current,
Connecticut,2015,mcdvsurrender,State law automatically requires MCDV offenders to surrender their firearms,Current,
Connecticut,2015,mcdvsurrendernoconditions,No additional finding is required before the firearm surrender provisions apply,Current,
Connecticut,2015,mcdvsurrenderdating,The surrender provisions apply if the defendant is a dating partner of the victim,Current,
Connecticut,2015,dvro,State law automatically prohibits domestic violence-related restraining order (DVRO) subjects from possessing firearms,Current,
Connecticut,2015,dvrodating,DVROs are automatically prohibiting if the subject is a dating partner of the petitioner,Current,
Connecticut,2015,stalking,A stalking conviction is prohibitive for firearm possession,Current,
Connecticut,2016,felony,Felony conviction is prohibitive for firearm purchase/possession,Current,
Connecticut,2016,invcommitment,Involuntary commitment (inpatient) is prohibitive for firearm purchase/possession,Current,
Connecticut,2016,drugmisdemeanor,Drug misdemeanor is prohibitive for firearm purchase/possession,Current,
Connecticut,2016,violent,Firearm possession is prohibited for people with a history of a violent misdemeanor punishable by less than one year of imprisonment,Current,
Connecticut,2016,violenth,Handgun possession is prohibited for people with a history of a violent misdemeanor punishable by less than one year of imprisonment,Current,
Connecticut,2016,violentpartial,Firearm possession is prohibited for people with a history of a violent misdemeanor punishable by more than one year of imprisonment,Current,
Connecticut,2016,dealerh,State dealer license required for handgun sales,Current,
Connecticut,2016,recordsall,Record keeping and retention required for all private sellers and all licensed dealers for all firearms,Current,
Connecticut,2016,recordsallh,Record keeping and retention required for all sellers and all dealers for handgun sales,Current,
Connecticut,2016,recordsdealer,Record keeping and retention required for licensed dealers for all firearm sales,Current,
Connecticut,2016,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Current,
Connecticut,2016,reportall,Reporting of sales records to the state required for all private sellers and all licensed dealers for all firearms,Current,
Connecticut,2016,reportallh,Reporting of sales records to the state required for all sellers and all dealers for handgun sales,Current,
